typeid,numberchanges,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",3,a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:22:34.7609533,0,00:02:05.1069210,0Win:vsWindowTypeDocument UsersController.cs
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",3,cf20b71e-d8b8-46c7-af24-cc8f94d44d03,0.1004-Default,00:36:52.784147,0,00:01:45.1640398,0Win:vsWindowTypeDocument UsersController.cs
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",3,da2fee65-853c-4f77-a0b9-e9a79be9ecd9,0.1004-Default,19:27:45.7696731,0,00:02:41.5568833,0Win:vsWindowTypeToolWindow Start Page
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,da2fee65-853c-4f77-a0b9-e9a79be9ecd9,0.1004-Default,19:30:27.451055,0,00:00:02.9635005,0Win:vsWindowTypeDocument UsersController.cs
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",3,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,21:38:52.8290346,0,00:04:46.2543817,0Win:vsWindowTypeToolWindow Start Page
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,21:43:39.0859147,0,00:00:06.1928531,0Win:vsWindowTypeDocument UsersController.cs
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,21:44:05.5994046,0,03:05:51.8195921,0Win:vsWindowTypeDocument UsersController.cs
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",5,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,00:49:57.6579958,0,00:00:02.5699755,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",3,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,00:50:00.6919516,0,00:00:02.2376600,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,00:50:04.2504581,0,00:00:26.0339709,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,01:04:57.7971023,0,00:00:03.0638957,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",9,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,01:05:00.9998529,0,00:00:03.6063463,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",5,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,01:05:04.8060219,0,00:00:02.0818786,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",6,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,01:05:06.975967,0,00:00:02.6578264,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",5,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,01:05:10.5359395,0,00:00:07.0964840,0Win:vsWindowTypeDocument extensions.ps1
