typeid,target,location,navtype,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow,activedocument
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[System.Threading.Tasks.Task`1[[TResult -> System.Web.Mvc.ActionResult, System.Web.Mvc, 5.2.2.0]], mscorlib, 4.0.0.0] [?].Invite([?] viewModel)",3,a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:23:05.1856493,3,,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[System.Threading.Tasks.Task`1[[TResult -> System.Web.Mvc.ActionResult, System.Web.Mvc, 5.2.2.0]], mscorlib, 4.0.0.0] [Assemble.WebClient.Areas.Administration.Controllers.UsersController, Assemble.WebClient].Invite([Assemble.WebClient.Areas.Administration.ViewModels.Users.InviteUserViewModel, Assemble.WebClient] viewModel)",3,a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:23:06.148115,3,,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[System.Threading.Tasks.Task`1[[TResult -> System.Web.Mvc.ActionResult, System.Web.Mvc, 5.2.2.0]], mscorlib, 4.0.0.0] [Assemble.WebClient.Areas.Administration.Controllers.UsersController, Assemble.WebClient].Invite([Assemble.WebClient.Areas.Administration.ViewModels.Users.InviteUserViewModel, Assemble.WebClient] viewModel)",3,cf20b71e-d8b8-46c7-af24-cc8f94d44d03,0.1004-Default,15:00:23.467028,3,,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[System.Threading.Tasks.Task`1[[TResult -> System.Web.Mvc.ActionResult, System.Web.Mvc, 5.2.2.0]], mscorlib, 4.0.0.0] [Assemble.WebClient.Areas.Administration.Controllers.UsersController, Assemble.WebClient].Invite([Assemble.WebClient.Areas.Administration.ViewModels.Users.InviteUserViewModel, Assemble.WebClient] viewModel)",3,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,22:33:23.0794243,3,,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,0General:???,2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,00:49:54.8111712,1,,0Win:vsWindowTypeDocument build.ps1,0Doc:PowerShell build.ps1
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[i:System.Web.Http.IHttpActionResult, System.Web.Http, 5.2.3.0] [Assemble.WebClient.Controllers.Api.V1.EventsController, Assemble.WebClient].Get([Assemble.WebClient.ViewModels.Events.EventsRequestViewModel, Assemble.WebClient] requestViewModel)",2,c33463ea-8592-45d3-a821-8e194f15bfd1,0.1004-Default,23:35:24.2574867,1,,0Win:vsWindowTypeDocument EventsController.cs,0Doc:CSharp \Assemble\WebClient\Controllers\Api\V1\EventsController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0T:Assemble.WebClient.ViewModels.Events.EventsRequestViewModel, Assemble.WebClient",3,c33463ea-8592-45d3-a821-8e194f15bfd1,0.1004-Default,23:35:28.8304875,3,,0Win:vsWindowTypeDocument EventsRequestViewModel.cs,0Doc:CSharp \Assemble\WebClient\ViewModels\Events\EventsRequestViewModel.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[i:System.Web.Http.IHttpActionResult, System.Web.Http, 5.2.3.0] [Assemble.WebClient.Controllers.Api.V1.EventsController, Assemble.WebClient].Get([Assemble.WebClient.ViewModels.Events.EventsRequestViewModel, Assemble.WebClient] requestViewModel)",3,c33463ea-8592-45d3-a821-8e194f15bfd1,0.1004-Default,23:36:09.666223,3,,0Win:vsWindowTypeDocument EventsController.cs,0Doc:CSharp \Assemble\WebClient\Controllers\Api\V1\EventsController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[System.Web.Mvc.ActionResult, System.Web.Mvc, 4.0.0.0] [Assemble.Public.AuditEventExampleWebApp.Controllers.HomeController, Assemble.Public.AuditEventExampleWebApp].AuditEvent([Assemble.Public.AuditEventExampleWebApp.Models.AuditEventModel, Assemble.Public.AuditEventExampleWebApp] args)",2,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:46:38.2473841,1,,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[p:void] [Assemble.Public.AuditEventExampleWebApp.Controllers.HomeController, Assemble.Public.AuditEventExampleWebApp].BuildArguments([i:RestSharp.IRestRequest, RestSharp, 104.2.0.0] request, opt [p:object] arguments)",3,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:46:40.3309019,3,,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[System.Web.Mvc.ActionResult, System.Web.Mvc, 4.0.0.0] [Assemble.Public.AuditEventExampleWebApp.Controllers.HomeController, Assemble.Public.AuditEventExampleWebApp].AuditEvent([Assemble.Public.AuditEventExampleWebApp.Models.AuditEventModel, Assemble.Public.AuditEventExampleWebApp] args)",3,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:46:56.7671306,3,,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[p:void] [Assemble.Public.AuditEventExampleWebApp.Controllers.HomeController, Assemble.Public.AuditEventExampleWebApp].BuildArguments([i:RestSharp.IRestRequest, RestSharp, 104.2.0.0] request, opt [p:object] arguments)",3,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:52:14.0211624,3,,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,"0M:[System.Web.Mvc.ActionResult, System.Web.Mvc, 4.0.0.0] [Assemble.Public.AuditEventExampleWebApp.Controllers.HomeController, Assemble.Public.AuditEventExampleWebApp].AuditEvent([Assemble.Public.AuditEventExampleWebApp.Models.AuditEventModel, Assemble.Public.AuditEventExampleWebApp] args)",2,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:52:38.869823,1,,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.NavigationEvent, KaVE.Commons",0General:???,0General:???,2,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:56:14.6201666,1,,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
